,total_tweets,avg_tweet_length,avg_sentiment,activity_duration,degree,rumor_ratio,events,neighbors,rumor_tweets,non_rumor_tweets,total_tweets
18845980,3,82.33333333333333,-0.831043561299642,8554515.0,3,0.3333333333333333,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""2280470022"", ""278067201"", ""87416722""]",1,2,3
1040687791,3,87.0,-0.19556361436843872,6784550.0,2,1.0,"[""charliehebdo-all-rnr-threads"", ""ottawashooting-all-rnr-threads""]","[""87416722"", ""5402612""]",3,0,3
7587032,89,129.47191011235958,-0.35445539335186566,13443820.0,950,0.5280898876404494,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads"", ""ottawashooting-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""213655226"", ""43863481"", ""203122412"", ""2753139956"", ""2305228178"", ""1471720957"", ""712887475"", ""2723676503"", ""393786263"", ""42498454"", ""1672970340"", ""237672903"", ""2938673260"", ""2799835019"", ""75977801"", ""595036225"", ""792856020"", ""24408882"", ""191723646"", ""49351684"", ""751363842"", ""2930298332"", ""900675710"", ""300234290"", ""2707815410"", ""25826256"", ""21901872"", ""132494834"", ""549688044"", ""1585970245"", ""2736026781"", ""147181485"", ""1447779020"", ""422062818"", ""546924455"", ""186167438"", ""1269616364"", ""2352647582"", ""112777979"", ""69643057"", ""173435768"", ""2900433696"", ""2837302235"", ""51849743"", ""19824644"", ""608990161"", ""707669335"", ""1474332679"", ""20819614"", ""397587164"", ""363661801"", ""2281433283"", ""2147835768"", ""1603077498"", ""598886559"", ""618227502"", ""2850609607"", ""48399136"", ""52915212"", ""2208746299"", ""36051110"", ""1101548340"", ""578221595"", ""147605712"", ""145946570"", ""103972238"", ""532299353"", ""2475652522"", ""1435418814"", ""2922757403"", ""435081194"", ""551234726"", ""1356415058"", ""288999355"", ""396021583"", ""216360237"", ""2408538376"", ""1633769822"", ""38635358"", ""53322615"", ""2152015562"", ""458768756"", ""1921089186"", ""2408509784"", ""19563004"", ""41379801"", ""2322687739"", ""2933943867"", ""281737861"", ""118261863"", ""169626752"", ""1600900638"", ""94365114"", ""21719375"", ""525641377"", ""2202558595"", ""27602314"", ""900691963"", ""738546480"", ""422552416"", ""288730262"", ""549344450"", ""572454746"", ""2547431512"", ""2732709982"", ""361247001"", ""144109245"", ""360283600"", ""868681170"", ""71545502"", ""379326514"", ""585772278"", ""2815093989"", ""19331152"", ""47067827"", ""2915597476"", ""2840119379"", ""1315370654"", ""192744648"", ""2958552807"", ""2760046609"", ""1678319448"", ""1874429234"", ""42829207"", ""160547588"", ""230553901"", ""43283737"", ""426537685"", ""573692319"", ""1976772002"", ""26785968"", ""733092889"", ""2374882148"", ""2569461165"", ""879038035"", ""2311818881"", ""1546021448"", ""2957540893"", ""25049396"", ""1615792554"", ""238749905"", ""2252485347"", ""39831495"", ""1058745000"", ""2231654796"", ""1429966902"", ""391318757"", ""2378065634"", ""1022865097"", ""470374459"", ""43851362"", ""2775150405"", ""2879414031"", ""28888756"", ""170762585"", ""2824552901"", ""1291930495"", ""95212557"", ""968020818"", ""1347116040"", ""466489364"", ""1427382770"", ""587412250"", ""113422955"", ""66103873"", ""15606755"", ""606653364"", ""26446539"", ""1604396971"", ""20427278"", ""1228556048"", ""394840322"", ""230967933"", ""109087837"", ""240219985"", ""563178382"", ""714420762"", ""20617408"", ""1857854515"", ""210774597"", ""604855824"", ""190218122"", ""19443081"", ""315326703"", ""2945871636"", ""101499891"", ""40614889"", ""358992193"", ""145456012"", ""193422307"", ""43953931"", ""453889433"", ""2191277311"", ""2794829648"", ""33827440"", ""2280470022"", ""2707571696"", ""214007688"", ""41623942"", ""1894275583"", ""2741866624"", ""2942267809"", ""1268120574"", ""108617893"", ""56650052"", ""390625296"", ""25047467"", ""47582275"", ""1262186544"", ""2396634450"", ""275553430"", ""2884577892"", ""35683492"", ""138713188"", ""2621261169"", ""1446864968"", ""997608943"", ""2817299007"", ""2668764799"", ""254507476"", ""260644597"", ""2262088470"", ""16727355"", ""2558972356"", ""635549765"", ""2193141103"", ""132676483"", ""734713182"", ""2856588296"", ""1183116912"", ""931746864"", ""413095393"", ""1911832471"", ""2544187700"", ""1685120202"", ""702077915"", ""449157548"", ""19614883"", ""1887260479"", ""1120005338"", ""443086827"", ""622210592"", ""199459019"", ""17436585"", ""44464005"", ""426916231"", ""18716042"", ""50014086"", ""245051131"", ""268722191"", ""147484686"", ""229891234"", ""806713213"", ""19149609"", ""1967132004"", ""157322283"", ""19177894"", ""457170115"", ""206596726"", ""1176480541"", ""207372536"", ""21175450"", ""301357413"", ""222796094"", ""1487419980"", ""2643935373"", ""2325485624"", ""2325285027"", ""86853453"", ""455724651"", ""72588786"", ""529583598"", ""1464687919"", ""2190060020"", ""153120929"", ""2883239325"", ""339718453"", ""2725416517"", ""358165338"", ""533270802"", ""2566535282"", ""1325117106"", ""367907778"", ""428391320"", ""35439079"", ""126621128"", ""2845970116"", ""1469280505"", ""1542767918"", ""1301499264"", ""1951309200"", ""2812004227"", ""2768771465"", ""729018318"", ""2183674353"", ""88505381"", ""20585360"", ""25407482"", ""266275672"", ""1956154830"", ""513175616"", ""2939872661"", ""20324285"", ""1959527118"", ""1851354788"", ""288298411"", ""98719957"", ""553013804"", ""1267085329"", ""290800404"", ""610194645"", ""23524864"", ""23476172"", ""313821261"", ""222562630"", ""20498025"", ""27222636"", ""252682590"", ""1506045206"", ""2206721762"", ""84429722"", ""2593197311"", ""1887799932"", ""32424872"", ""22921558"", ""797183347"", ""1578120853"", ""36096153"", ""62591883"", ""14183914"", ""2663218640"", ""1437948078"", ""19750998"", ""20902016"", ""33217936"", ""624557599"", ""2270384360"", ""2155595043"", ""1401723518"", ""354917016"", ""2391992534"", ""3088448937"", ""105599936"", ""1528559454"", ""2945009729"", ""2750908439"", ""2163490567"", ""220981466"", ""479259008"", ""2451649196"", ""204246297"", ""2886586060"", ""420445035"", ""494828633"", ""81025017"", ""197396710"", ""386169472"", ""43303611"", ""1636935235"", ""1032826321"", ""43759072"", ""564198569"", ""25958881"", ""185203533"", ""2811807426"", ""335788977"", ""1633311770"", ""20527694"", ""2841003016"", ""239853650"", ""165255622"", ""171360721"", ""62966062"", ""833819329"", ""284033773"", ""218104926"", ""2459714353"", ""2811450023"", ""633599209"", ""1966555952"", ""97519068"", ""2225289911"", ""997535641"", ""385088282"", ""181873706"", ""114853106"", ""140016557"", ""953169685"", ""2464502209"", ""489497300"", ""259813726"", ""1095967202"", ""325982055"", ""17400044"", ""765608984"", ""2765808926"", ""958317980"", ""2873512124"", ""21081411"", ""569592930"", ""225956216"", ""2907447939"", ""610028948"", ""44859449"", ""2561821225"", ""824250668"", ""117789874"", ""24283002"", ""2326869021"", ""402738328"", ""2319436008"", ""15486485"", ""441036257"", ""1021883684"", ""2407380144"", ""29442661"", ""2734350850"", ""2768705528"", ""304946185"", ""247679867"", ""1495284030"", ""2404671441"", ""2407248410"", ""2565682773"", ""150219628"", ""2938577656"", ""519740250"", ""52369289"", ""2416197957"", ""2221182175"", ""928940965"", ""39879845"", ""478034979"", ""2887763805"", ""94573305"", ""973822920"", ""612920099"", ""2195413480"", ""221544397"", ""386236013"", ""27632057"", ""1264660638"", ""358414075"", ""33951038"", ""2471529011"", ""213698858"", ""152891927"", ""525304762"", ""2771542204"", ""1927566248"", ""886911072"", ""361925737"", ""108459307"", ""71319477"", ""274161652"", ""142321213"", ""2806409452"", ""1827417535"", ""52413014"", ""174365756"", ""1667493679"", ""61731433"", ""312884233"", ""2467959607"", ""455636856"", ""70621811"", ""2288506714"", ""428930828"", ""594155937"", ""368041715"", ""70871976"", ""2485233738"", ""26748741"", ""2873772514"", ""163489910"", ""487054198"", ""2898190371"", ""2560935911"", ""2306816966"", ""544433101"", ""2749103731"", ""56645514"", ""22625357"", ""91528467"", ""34278773"", ""147202533"", ""1358618826"", ""262377489"", ""288967732"", ""606686901"", ""42400054"", ""2370914096"", ""2585884892"", ""14991954"", ""716785466"", ""2724407548"", ""78139544"", ""2346533108"", ""2210914145"", ""2722033756"", ""2669265942"", ""853276514"", ""152499321"", ""761638963"", ""449898604"", ""616111882"", ""1137320347"", ""303733375"", ""387523648"", ""79408564"", ""417877098"", ""1297338674"", ""249340848"", ""224775883"", ""2243504739"", ""463117507"", ""379672324"", ""391609366"", ""236446264"", ""27074991"", ""21052177"", ""30859403"", ""57023952"", ""19498310"", ""2950954733"", ""2378106931"", ""751562797"", ""213757408"", ""359015191"", ""1618526544"", ""365414075"", ""366999739"", ""858157333"", ""20676184"", ""861178922"", ""53668717"", ""923278088"", ""436029388"", ""188248678"", ""2397850208"", ""20308222"", ""229537740"", ""30657692"", ""315880426"", ""56688219"", ""1420534482"", ""143598168"", ""1324288885"", ""489906592"", ""2484423203"", ""610256326"", ""419403303"", ""66037316"", ""331632622"", ""2398403977"", ""186847460"", ""19157433"", ""245683175"", ""2435800394"", ""262329855"", ""113964688"", ""478402262"", ""473048213"", ""348584520"", ""1530746612"", ""2361318380"", ""1148205248"", ""21068048"", ""191074342"", ""1613521332"", ""900352195"", ""232805236"", ""1372692300"", ""1169619438"", ""82062775"", ""848351792"", ""17876008"", ""1633711352"", ""944949480"", ""846160506"", ""371295497"", ""86602719"", ""611516397"", ""2403111176"", ""2804531655"", ""71118174"", ""606532908"", ""18379848"", ""2560120714"", ""21579943"", ""594785442"", ""192181644"", ""49317619"", ""749000928"", ""2620056154"", ""2247428833"", ""2875706024"", ""872508648"", ""2237327754"", ""21355755"", ""2864140683"", ""157982561"", ""351156603"", ""2770600568"", ""1550164182"", ""2181425453"", ""593076631"", ""192359034"", ""730825878"", ""546475152"", ""2347869676"", ""1149038040"", ""20858066"", ""2496076532"", ""490433723"", ""2869304847"", ""520011678"", ""2817362840"", ""312996321"", ""109553437"", ""2598442396"", ""464134033"", ""2701606112"", ""1097602477"", ""23984185"", ""354793705"", ""2239469596"", ""2313361531"", ""49117684"", ""2918939051"", ""2701566703"", ""2878888883"", ""1106668680"", ""1180564789"", ""2241324176"", ""1655525964"", ""1450030952"", ""794921233"", ""68956490"", ""24639297"", ""18142861"", ""2495801377"", ""160653702"", ""299076079"", ""404095923"", ""138408070"", ""464830821"", ""92922700"", ""976596115"", ""604569449"", ""149050232"", ""70133596"", ""1473132685"", ""1964938920"", ""395264215"", ""325604362"", ""2370908751"", ""1184253228"", ""309075828"", ""2841491128"", ""2371695217"", ""376679692"", ""1093219254"", ""2173233478"", ""2190518857"", ""30458580"", ""2305290142"", ""26097979"", ""392739061"", ""296688908"", ""206118549"", ""2759522404"", ""270984369"", ""181109231"", ""568596507"", ""474174981"", ""1958563062"", ""131251989"", ""1204397358"", ""2903064759"", ""1853445666"", ""198123914"", ""260679517"", ""849008012"", ""84557057"", ""2901435751"", ""98635168"", ""36649116"", ""53741029"", ""2297320726"", ""21062446"", ""122294990"", ""238712201"", ""635190388"", ""41187181"", ""125344265"", ""247261209"", ""1516812560"", ""1949674452"", ""192039517"", ""211384657"", ""66758318"", ""21009701"", ""279483370"", ""494501255"", ""20034278"", ""364318005"", ""1653834024"", ""233688459"", ""282756639"", ""293110878"", ""1550984940"", ""148699617"", ""2363818055"", ""438601264"", ""198091495"", ""80240161"", ""280242927"", ""1893228739"", ""1201859449"", ""1586039095"", ""870691879"", ""57938385"", ""56160047"", ""84363987"", ""1111814293"", ""256546847"", ""2751165905"", ""3041579847"", ""2875644124"", ""590177097"", ""44864646"", ""35289638"", ""2235443075"", ""881582755"", ""1087142540"", ""476232425"", ""56734871"", ""500595457"", ""74824409"", ""38255197"", ""2945865278"", ""2737956670"", ""428149314"", ""514466260"", ""746980435"", ""2493987576"", ""1420213766"", ""2283483315"", ""2915138085"", ""481926126"", ""256456300"", ""218186492"", ""2420699738"", ""504958389"", ""60477982"", ""2718113595"", ""1145977771"", ""1348798826"", ""201479875"", ""2791981962"", ""237724213"", ""505918122"", ""2826262117"", ""6575472"", ""126987176"", ""2324261167"", ""2176959405"", ""702317425"", ""99790322"", ""1115498155"", ""987503203"", ""2647755663"", ""35338516"", ""1092400777"", ""119788492"", ""705665868"", ""1234987687"", ""57444129"", ""14964429"", ""371217924"", ""68128089"", ""35774997"", ""2717600311"", ""134240162"", ""54268327"", ""2459278543"", ""2779940700"", ""72833846"", ""27424922"", ""2316172820"", ""21181417"", ""91824582"", ""2743945505"", ""70650435"", ""397145467"", ""2919712403"", ""258106149"", ""304637914"", ""1129809848"", ""433150658"", ""91372324"", ""304281220"", ""2866426901"", ""558271681"", ""43513369"", ""297607906"", ""719862841"", ""794860933"", ""53135856"", ""23583472"", ""377170560"", ""377247309"", ""125454330"", ""67311089"", ""567643509"", ""2296133130"", ""149913262"", ""66133238"", ""567414819"", ""24859059"", ""224748430"", ""1331604092"", ""42046422"", ""2959967321"", ""296948666"", ""1724090454"", ""28813349"", ""413856809"", ""568564628"", ""178845084"", ""47642961"", ""1122694848"", ""438440486"", ""2534441287"", ""2248475133"", ""2727649149"", ""149286219"", ""343269643"", ""483989956"", ""2734300973"", ""204833735"", ""81169025"", ""217179750"", ""2848043788"", ""173844579"", ""447711346"", ""87762392"", ""227555454"", ""26308290"", ""1057370910"", ""948517734"", ""2950026934"", ""2846895994"", ""291561694"", ""105439246"", ""2688202392"", ""97646569"", ""2927507078"", ""2404923194"", ""558969189"", ""369181340"", ""983433582"", ""2602391361"", ""1262157433"", ""1347766734"", ""1574237179"", ""179294405"", ""1539580423"", ""1101212720"", ""1035136412"", ""608069196"", ""2916904681"", ""25644597"", ""633081670"", ""303896480"", ""54727574"", ""610143940"", ""1173408768"", ""578896287"", ""2752626905"", ""595158733"", ""529286343"", ""459983485"", ""498084828"", ""80280391"", ""298701234"", ""521469669"", ""264862915"", ""554553205"", ""339187164"", ""242389046"", ""2475634148"", ""2530450641"", ""300836889"", ""605824949"", ""906682020"", ""149100048"", ""820458320"", ""134595287"", ""2528078443"", ""19349456"", ""158523125"", ""134738729"", ""354668309"", ""797099875"", ""1072387866"", ""109030123"", ""191007877"", ""69251164"", ""2260562620"", ""23469560"", ""18863590"", ""2885348567"", ""580824264"", ""612618297"", ""135915194"", ""2432634950"", ""79802631"", ""268433270"", ""1381996868"", ""220951379"", ""125192586"", ""1670295002"", ""1475233393"", ""146753510"", ""866796758"", ""1062498002"", ""229547869"", ""941878034"", ""142668518"", ""110630248"", ""39780739"", ""2946309485"", ""36326275"", ""2611014717"", ""195059447"", ""2562641084"", ""538401540"", ""1704223766"", ""19238906"", ""1895366173"", ""204043844"", ""2949326851"", ""190751640"", ""91097228"", ""371455679"", ""759592362"", ""74924830"", ""70559981""]",47,42,89
2311818881,3,33.666666666666664,-0.0625650684038798,2018088.0,2,1.0,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""38142380"", ""7587032""]",3,0,3
881582755,16,124.8125,-0.37050636857748037,2173145.0,5,0.0625,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""7587032"", ""171953871"", ""31135856"", ""16305558"", ""1920286333""]",1,15,16
224775883,2,94.5,-0.2590023875236511,2021728.0,2,1.0,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""292777349"", ""7587032""]",2,0,2
6591312,3,123.0,-0.7264959017435709,6564462.0,32,1.0,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads""]","[""14013202"", ""22441656"", ""407779393"", ""336118461"", ""1569448915"", ""16330790"", ""211757224"", ""2459278543"", ""264882189"", ""582523469"", ""2378914268"", ""19392326"", ""177830416"", ""909990571"", ""501824127"", ""47694347"", ""2513308740"", ""337164050"", ""1566093012"", ""1618325365"", ""2799588421"", ""5967972"", ""220347418"", ""1582265598"", ""142088047"", ""225970425"", ""57081338"", ""16461724"", ""109982213"", ""106376530"", ""140749707"", ""258730076""]",3,0,3
1569448915,6,69.5,-0.0696726143360138,18605846.0,5,0.5,"[""charliehebdo-all-rnr-threads"", ""putinmissing-all-rnr-threads"", ""ottawashooting-all-rnr-threads"", ""ferguson-all-rnr-threads""]","[""24630719"", ""36309919"", ""14090948"", ""6591312"", ""16343974""]",3,3,6
225970425,4,133.5,-0.23389892280101776,2023591.0,4,0.5,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""6591312"", ""1532402708"", ""14700117"", ""2378713202""]",2,2,4
2378914268,15,100.53333333333333,-0.24782222112019855,6719825.0,11,0.26666666666666666,"[""charliehebdo-all-rnr-threads"", ""ottawashooting-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""1359226843"", ""427515851"", ""46078438"", ""17537467"", ""15384969"", ""14511951"", ""417419122"", ""153029181"", ""6591312"", ""605283640"", ""374712154""]",4,11,15
